tconst,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes
tt0035423,Kate & Leopold,Kate & Leopold,2001.0,"Comedy,Fantasy,Romance",6.4,91660
tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018.0,Drama,6.7,8286
tt0119495,Love 101,Love 101,2000.0,"Comedy,Drama,Romance",5.0,158
tt0120117,Shikari,Shikari,2000.0,"Crime,Drama,Thriller",4.6,556
tt0120912,Men in Black II,Men in Black II,2002.0,"Action,Adventure,Comedy",6.2,418170
tt0125022,Heartbreakers,Heartbreakers,2001.0,"Comedy,Crime,Romance",6.3,60187
tt0128154,Daybreak,Daybreak,2002.0,"Crime,Mystery,Thriller",7.4,21
tt0134084,Scream 3,Scream 3,2000.0,"Horror,Mystery",5.7,173410
tt0135707,Wind River,Wind River,2000.0,"Drama,Family,Western",6.3,421
tt0139654,Training Day,Training Day,2001.0,"Crime,Drama,Thriller",7.8,494815
tt0144084,American Psycho,American Psycho,2000.0,"Crime,Drama,Horror",7.6,776965
tt0149367,Where the Money Is,Where the Money Is,2000.0,"Comedy,Crime,Drama",6.3,6610
tt0151685,Love,My Father's Love,2001.0,Drama,7.6,22
tt0158622,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,2000.0,"Comedy,Family,Romance",3.7,26251
tt0159273,Behind Enemy Lines,Behind Enemy Lines,2001.0,"Action,Drama,Thriller",6.4,116394
tt0159365,Cold Mountain,Cold Mountain,2003.0,"Adventure,Drama,Romance",7.2,160421
tt0160009,The Art of War,The Art of War,2000.0,"Action,Adventure,Crime",5.7,31584
tt0160127,Charlie's Angels,Charlie's Angels,2000.0,"Action,Adventure,Comedy",5.6,201842
tt0161081,What Lies Beneath,What Lies Beneath,2000.0,"Drama,Horror,Mystery",6.6,140242
tt0161088,White Boy,White Boy,2002.0,Drama,3.2,339
tt0164003,City of Ghosts,City of Ghosts,2002.0,"Crime,Drama,Thriller",5.9,5990
tt0164184,The Sum of All Fears,The Sum of All Fears,2002.0,"Action,Drama,Thriller",6.5,128270
tt0164334,Along Came a Spider,Along Came a Spider,2001.0,"Crime,Drama,Mystery",6.4,99024
tt0165361,Highway,Highway,2002.0,"Crime,Drama",6.1,7016
tt0165928,Revenge,Revenge,2000.0,Thriller,4.5,271
tt0167190,Hellboy,Hellboy,2004.0,"Action,Adventure,Fantasy",6.9,360693
tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003.0,"Adventure,Drama,Fantasy",9.0,2072483
tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002.0,"Adventure,Drama,Fantasy",8.8,1868450
tt0170016,How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000.0,"Comedy,Family,Fantasy",6.4,311969
tt0172156,Bad Boys II,Bad Boys II,2003.0,"Action,Comedy,Crime",6.6,280702
tt0172794,The Apostate,Michael Angel,2000.0,"Crime,Horror,Mystery",4.1,447
tt0174336,Whipped,Whipped,2000.0,"Comedy,Romance",4.4,4494
tt0175142,Scary Movie,Scary Movie,2000.0,Comedy,6.3,302421
tt0175143,Hangman,Hangman,2000.0,Drama,5.5,35
tt0179220,Homeland,Homeland,2000.0,Documentary,8.5,29
tt0181739,Osmosis Jones,Osmosis Jones,2001.0,"Action,Adventure,Animation",6.3,40171
tt0181852,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,2003.0,"Action,Sci-Fi",6.3,427806
tt0184907,Snow Day,Snow Day,2000.0,"Adventure,Comedy,Family",5.2,14245
tt0185183,Battlefield Earth,Battlefield Earth,2000.0,"Action,Adventure,Sci-Fi",2.5,84531
tt0185431,Little Nicky,Little Nicky,2000.0,"Comedy,Fantasy",5.3,115824
tt0186151,Frequency,Frequency,2000.0,"Crime,Drama,Mystery",7.4,119423
tt0186566,Space Cowboys,Space Cowboys,2000.0,"Action,Adventure,Thriller",6.5,88639
tt0188055,Mercy,Mercy,2000.0,"Mystery,Thriller",5.4,2439
tt0190138,The Whole Nine Yards,The Whole Nine Yards,2000.0,"Comedy,Crime",6.7,132381
tt0190332,"Crouching Tiger, Hidden Dragon",Wo hu cang long,2000.0,"Action,Adventure,Drama",7.9,287774
tt0190346,The Dancer,The Dancer,2000.0,Drama,5.7,1108
tt0191754,28 Days,28 Days,2000.0,"Comedy,Drama",6.1,56025
tt0192255,The Little Vampire,The Little Vampire,2000.0,"Adventure,Comedy,Family",5.8,12036
tt0193364,The Order,The Order,2001.0,"Action,Adventure,Comedy",4.7,9775
tt0195119,Osmosis,Osmose,2003.0,"Comedy,Drama,Romance",5.9,103
tt0195714,Final Destination,Final Destination,2000.0,"Horror,Thriller",6.7,299013
tt0197750,Paranoid,Paranoid,2000.0,"Crime,Horror,Thriller",4.0,2452
tt0198386,The Crew,The Crew,2000.0,"Comedy,Crime",5.6,6782
tt0199129,The Visit,The Visit,2000.0,Drama,6.2,292
tt0199626,In the Cut,In the Cut,2003.0,"Mystery,Thriller",5.4,27186
tt0200465,The Bank Job,The Bank Job,2008.0,"Crime,Thriller",7.2,193330
tt0201485,The Body,The Body,2001.0,"Drama,Mystery,Romance",5.3,9725
tt0202458,Love.com,Love.com,2002.0,Thriller,2.0,194
tt0203166,Together,Tillsammans,2000.0,"Comedy,Drama,Romance",7.4,25028
tt0207161,Time Share,Time Share,2000.0,"Comedy,Family,Romance",5.7,1504
tt0208883,Desire,Desire,2000.0,"Drama,Romance,Thriller",5.5,115
tt0209958,The Cell,The Cell,2000.0,"Crime,Horror,Sci-Fi",6.4,112764
tt0210616,Center Stage,Center Stage,2000.0,"Drama,Music,Romance",6.7,23312
tt0210971,The Forest,A Selva,2002.0,"Drama,Romance",5.6,307
tt0211296,Chasing the Dragon,Chasing the Dragon,2000.0,Drama,6.8,35
tt0211933,Awake,Awake,2007.0,"Crime,Drama,Mystery",6.5,83203
tt0211946,Berlin Calling,Berlin Calling,2008.0,"Comedy,Drama,Music",7.2,15526
tt0212774,Aquarius,Aquarius,2000.0,"Action,Sci-Fi",6.6,29
tt0212985,Hannibal,Hannibal,2001.0,"Crime,Drama,Thriller",6.8,303929
tt0215139,Russian Doll,Russian Doll,2001.0,"Comedy,Drama,Romance",6.1,501
tt0216605,The Captive,La Captive,2000.0,"Drama,Music,Romance",6.0,2217
tt0217505,Gangs of New York,Gangs of New York,2002.0,"Crime,Drama",7.5,487734
tt0218000,Another Life,Another Life,2001.0,"Crime,Drama,Romance",6.2,699
tt0218053,Black Friday,Black Friday,2001.0,Action,3.1,240
tt0218067,The Calling,The Calling,2000.0,"Horror,Thriller",4.3,2151
tt0218400,Life Sentence,Life Sentence,2004.0,"Drama,Thriller",6.3,21
tt0218533,Pukar,Pukar,2000.0,"Action,Drama,Romance",6.7,2732
tt0219169,The Mask of Zorro,La máscara de Zorro,2000.0,"Action,Adventure",6.2,18
tt0219640,Daybreak,Daybreak,2000.0,"Action,Adventure,Drama",4.1,448
tt0219699,The Gift,The Gift,2000.0,"Drama,Fantasy,Horror",6.7,77864
tt0219822,Human Nature,Human Nature,2001.0,"Comedy,Drama",6.4,19313
tt0220827,Sleepless,Non ho sonno,2001.0,"Horror,Mystery,Thriller",6.2,7792
tt0221027,Blow,Blow,2001.0,"Biography,Crime,Drama",7.5,281522
tt0222270,Phir Bhi Dil Hai Hindustani,Phir Bhi Dil Hai Hindustani,2000.0,"Comedy,Drama,Musical",6.2,9034
tt0222851,Brother,Brother,2000.0,"Crime,Drama,Thriller",7.1,25274
tt0224451,21,21,2000.0,"Comedy,Drama,Romance",7.3,95
tt0225071,Angel Eyes,Angel Eyes,2001.0,"Drama,Romance",5.7,26136
tt0227194,One 2 Ka 4,One 2 Ka 4,2001.0,"Action,Crime,Drama",5.5,5922
tt0227445,The Score,The Score,2001.0,"Crime,Drama,Thriller",6.8,139043
tt0227458,The Secret,Le secret,2000.0,"Drama,Romance",6.1,866
tt0227538,Spy Kids,Spy Kids,2001.0,"Action,Adventure,Comedy",5.6,131532
tt0229226,Girlfriends,Les autres filles,2000.0,Drama,5.9,116
tt0229432,First Love,Hatsukoi,2000.0,Romance,7.2,260
tt0231402,Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,2001.0,"Adventure,Comedy,Crime",4.8,26860
tt0234215,The Matrix Reloaded,The Matrix Reloaded,2003.0,"Action,Sci-Fi",7.2,650807
tt0235596,Miracle,Mirakel,2000.0,"Comedy,Drama,Family",5.9,658
tt0235877,West Coast,West Coast,2000.0,Drama,8.4,50
tt0236388,The Original Kings of Comedy,The Original Kings of Comedy,2000.0,"Comedy,Documentary",6.8,6241
tt0238380,Equilibrium,Equilibrium,2002.0,"Action,Drama,Sci-Fi",7.3,354781
tt0238462,Nobel,Nobel,2001.0,Drama,6.7,27
tt0238735,Wormwood,Wormwood,2001.0,Drama,7.2,31
tt0239430,Girl,Girl,2001.0,Drama,6.5,73
tt0239432,Gypsy,Gitano,2000.0,"Drama,Thriller",3.6,314
tt0240772,Ocean's Eleven,Ocean's Eleven,2001.0,"Crime,Thriller",7.7,644225
tt0242193,Bully,Bully,2001.0,"Biography,Crime,Drama",6.9,41862
tt0242445,Exit Wounds,Exit Wounds,2001.0,"Action,Crime,Thriller",5.6,37720
tt0242519,Hera Pheri,Hera Pheri,2000.0,"Action,Comedy,Crime",8.2,75825
tt0242653,The Matrix Revolutions,The Matrix Revolutions,2003.0,"Action,Sci-Fi",6.7,559949
tt0243585,Stuart Little 2,Stuart Little 2,2002.0,"Adventure,Comedy,Family",5.5,60216
tt0243655,Wet Hot American Summer,Wet Hot American Summer,2001.0,"Comedy,Romance",6.5,62039
tt0243876,The Duel,Kuet chin chi gam ji din,2000.0,"Action,Adventure,Comedy",5.8,1780
tt0244000,American Outlaws,American Outlaws,2001.0,"Action,Western",5.9,18098
tt0244244,Swordfish,Swordfish,2001.0,"Action,Crime,Thriller",6.5,199895
tt0244970,Someone Like You,Someone Like You...,2001.0,"Comedy,Romance",6.1,28168
tt0245294,Moonlight,Moonlight,2002.0,Thriller,6.0,854
tt0245356,Perfume,Perfume,2001.0,Drama,3.6,1158
tt0245825,Chal Mere Bhai,Chal Mere Bhai,2000.0,"Comedy,Romance",4.7,3758
tt0246268,Word of Honor,To tama,2001.0,"Comedy,Drama",7.0,103
tt0246446,Bad Guys,Bad Guys,2000.0,"Action,Adventure",5.6,73
tt0246460,Die Another Day,Die Another Day,2002.0,"Action,Adventure,Thriller",6.1,234326
tt0246776,The Mechanism,Mehanizam,2000.0,"Action,Crime",5.9,801
tt0248012,Fiza,Fiza,2000.0,"Crime,Drama,Romance",6.0,4629
tt0248625,Zoom,Zoom,2000.0,"Comedy,Crime,Drama",6.5,80
tt0249371,Asoka,Asoka,2001.0,"Action,Biography,Drama",6.4,15754
tt0249462,Billy Elliot,Billy Elliot,2000.0,"Drama,Music",7.7,147784
tt0249478,Domestic Disturbance,Domestic Disturbance,2001.0,"Crime,Thriller",5.6,29342
tt0250483,Kya Kehna,Kya Kehna,2000.0,"Drama,Romance",5.8,2335
tt0250484,The Queen,Die Königin - Marianne Hoppe,2000.0,Documentary,6.7,38
tt0250494,Legally Blonde,Legally Blonde,2001.0,"Comedy,Romance",6.5,265822
tt0250690,Refugee,Refugee,2000.0,"Drama,Musical,Romance",5.2,2182
tt0251075,Evolution,Evolution,2001.0,"Comedy,Sci-Fi",6.1,139312
tt0251179,Larceny,Larceny,2004.0,Comedy,4.2,240
tt0251402,Siren,Siren,2000.0,Drama,5.3,50
tt0252445,Followers,Followers,2000.0,Drama,6.4,99
tt0252503,Heist,Heist,2001.0,"Action,Crime,Drama",6.5,40254
tt0253474,The Pianist,The Pianist,2002.0,"Biography,Drama,Music",8.5,965623
tt0253867,The Sweetest Thing,The Sweetest Thing,2002.0,"Comedy,Romance",5.2,64273
tt0253933,Be Somebody,What About Me,2002.0,Romance,6.2,13
tt0254197,Brothers,Brothers,2000.0,"Comedy,Drama",2.2,90
tt0254284,Dog Eat Dog,Dog Eat Dog,2001.0,"Comedy,Drama",4.9,246
tt0254324,Imago,Imago,2001.0,Fantasy,6.7,27
tt0255094,The Circle,Dayereh,2000.0,Drama,7.4,6875
tt0255212,Hamara Dil Aapke Paas Hai,Hamara Dil Aapke Paas Hai,2000.0,"Action,Drama,Romance",5.5,2132
tt0255218,Hit & Run,Hit & Run,2000.0,Documentary,6.9,32
tt0255293,Persona,Kamen gakuen,2000.0,"Fantasy,Mystery",5.2,195
tt0255653,Tortilla Soup,Tortilla Soup,2001.0,"Comedy,Drama,Romance",6.7,5425
tt0257076,S.W.A.T.,S.W.A.T.,2003.0,"Action,Adventure,Crime",6.1,157016
tt0257516,Cursed,Cursed,2005.0,"Comedy,Horror,Mystery",5.1,36259
tt0257985,One of Us,One of Us,2000.0,Documentary,5.0,6
tt0258000,Panic Room,Panic Room,2002.0,"Crime,Drama,Thriller",6.8,306526
tt0258490,Khushi,Khushi,2001.0,"Drama,Romance",8.1,6206
tt0258862,The Operative,The Operative,2000.0,Action,4.2,366
tt0259324,Ghost Rider,Ghost Rider,2007.0,"Action,Fantasy,Thriller",5.3,260504
tt0259484,Paid in Full,Paid in Full,2002.0,"Action,Crime,Drama",7.0,15062
tt0261392,Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,2001.0,Comedy,6.8,163770
tt0261755,Jackpot,Jackpot,2001.0,"Comedy,Drama",5.6,607
tt0262828,Thug Life,Thug Life,2001.0,"Action,Crime",2.4,194
tt0263053,Alone,Alone,2002.0,"Horror,Mystery,Thriller",4.2,677
