year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,True
1927,1928,1,ART DIRECTION,ART DIRECTION,Rochus Gliese,Sunrise,False
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Rosher/Karl Struss,Sunrise,True
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Ben Hecht,Underworld,True
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Grand Hotel,True
1934,1935,7,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Jules White,Men in Black,False
1935,1936,8,ACTOR,ACTOR IN A LEADING ROLE,Clark Gable,Mutiny on the Bounty,False
1935,1936,8,ACTOR,ACTOR IN A LEADING ROLE,Charles Laughton,Mutiny on the Bounty,False
1935,1936,8,ACTOR,ACTOR IN A LEADING ROLE,Franchot Tone,Mutiny on the Bounty,False
1935,1936,8,DANCE DIRECTION,DANCE DIRECTION,Benjamin Zemach,She,False
1935,1936,8,DIRECTING,DIRECTING,Frank Lloyd,Mutiny on the Bounty,False
1935,1936,8,FILM EDITING,FILM EDITING,Margaret Booth,Mutiny on the Bounty,False
1935,1936,8,MUSIC (Scoring),MUSIC (Original Song Score or Adaptation Score),Metro-Goldwyn-Mayer/Nat W. Finston/Herbert Stothart,Mutiny on the Bounty,False
1935,1936,8,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Mutiny on the Bounty,True
1935,1936,8,WRITING (Screenplay),WRITING (Adapted Screenplay),Talbot Jennings/Jules Furthman/Carey Wilson,Mutiny on the Bounty,False
1938,1939,11,ACTRESS,ACTRESS IN A LEADING ROLE,Bette Davis,Jezebel,True
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,Jezebel,True
1938,1939,11,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Haller,Jezebel,False
1938,1939,11,MUSIC (Scoring),MUSIC (Original Song Score or Adaptation Score),Max Steiner,Jezebel,False
1938,1939,11,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,Jezebel,False
1939,1940,12,ART DIRECTION,ART DIRECTION,Jack Otterson/Martin Obzina,First Love,False
1939,1940,12,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Black-and-White),Joseph Valentine,First Love,False
