Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
26,The Wonderful Story of Henry Sugar,2023,95%,"With The Wonderful Story of Henry Sugar, Wes Anderson returns to the world of Roald Dahl -- and proves his distinctive style is a comfortable fit for one of the author's sweetest stories.",The Wonderful Story of Henry Sugar: A rich man learns about a guru who can see without using his eyes. He [More],"Benedict Cumberbatch, Ralph Fiennes, Ben Kingsley, Dev Patel",Wes Anderson
27,Hustle,2022,94%,"Hustle doesn't have any fancy moves, but it doesn't need them -- Adam Sandler's everyman charm makes this easy layup fun to watch.","Stanley Sugerman's (Adam Sandler) love for basketball is unparalleled, but the travel weary Philadelphia 76ers scout who has higher ambitions [More]","Adam Sandler, Juancho Hernangomez, Queen Latifah, Ben Foster",Jeremiah Zagar
28,The Sea Beast,2022,94%,"An original animated tale that's often as daring as its characters, The Sea Beast sends audiences on a voyage well worth taking.","In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes -- and none were more beloved [More]","Karl Urban, Zaris-Angel Hator, Jared Harris, Dan Stevens",Chris Williams
29,Emily the Criminal,2022,94%,"A taut thriller that contains a wealth of social commentary, Emily the Criminal is stolen by Aubrey Plaza's terrific work in the title role.",Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal [More],"Aubrey Plaza, Theo Rossi, Megalyn Echikunwoke, Jonathan Avigdori",John Patton Ford
30,Private Life,2018,94%,Private Life uses one couple's bumpy journey to take an affecting look at an easily identifiable - and too rarely dramatized - rite of adult passage.,A couple coping with infertility struggle to keep their marriage going as they navigate through the world of adoption and [More],"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon",Tamara Jenkins
31,The Power of the Dog,2021,94%,"Brought to life by a stellar ensemble led by Benedict Cumberbatch, The Power of the Dog reaffirms writer-director Jane Campion as one of her generation's finest filmmakers.","Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past [More]","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee",Jane Campion
32,You Hurt My Feelings,2023,94%,"Smart, funny, and above all entertaining, You Hurt My Feelings finds writer-director Nicole Holofcener as sharply perceptive as ever.",From acclaimed filmmaker Nicole Holofcener comes a sharply observed comedy about a novelist whose long standing marriage is suddenly upended [More],"Julia Louis-Dreyfus, Tobias Menzies, Michaela Watkins, Arian Moayed",Nicole Holofcener
33,The Lost Daughter,2021,94%,"A strikingly assured debut for writer-director Maggie Gyllenhaal, The Lost Daughter unites a brilliant cast in service of a daringly ambitious story.","Alone on a seaside vacation, Leda becomes consumed with a young mother and daughter as she watches them on the [More]","Olivia Colman, Dakota Johnson, Peter Sarsgaard, Jessie Buckley",Maggie Gyllenhaal
34,Spider-Man 2,2004,93%,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.","When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is [More]","Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",Sam Raimi
35,Enola Holmes 2,2022,93%,"Building on its predecessor with boisterously entertaining flair, Enola Holmes 2 solves the mystery of how to make a satisfying sequel -- and makes it look positively elementary.","Fresh off the triumph of solving her first case, Enola Holmes (Millie Bobby Brown) follows in the footsteps of her [More]","Millie Bobby Brown, Henry Cavill, Helena Bonham Carter, David Thewlis",Harry Bradbeer
