Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
76,Field of Dreams,1989,88%,"Field of Dreams is sentimental, but in the best way; it's a mix of fairy tale, baseball, and family togetherness.","When Iowa farmer Ray hears a mysterious voice one night in his cornfield saying ""If you build it, he will [More]","Kevin Costner, Amy Madigan, James Earl Jones, Gaby Hoffmann",Phil Alden Robinson
77,Fear Street Part Two: 1978,2021,88%,"A smart and subversive twist on slasher horror, Fear Street Part II: 1978 shows that summer camp has never been scarier thanks to stellar performances from Sadie Sink, Emily Rudd, and Ryan Simpkins.","Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider [More]","Sadie Sink, Emily Rudd, Ryan Simpkins, Chiara Aurelia",Leigh Janiak
78,The Age of Innocence,1993,88%,"Equal measures romantic and wistful, Martin Scorsese's elegant adaptation of The Age of Innocence is a triumphant exercise in both stylistic and thematic restraint.",Wealthy lawyer Newland Archer (Daniel Day-Lewis) is engaged to sweet socialite May Welland (Winona Ryder) in 1870s New York. On [More],"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Richard E. Grant",Martin Scorsese
79,Pride & Prejudice,2005,87%,"Sure, it's another adaptation of cinema's fave Jane Austen novel, but key performances and a modern filmmaking sensibility make this familiar period piece fresh and enjoyable.","In this adaptation of Jane Austen's beloved novel, Elizabeth Bennet (Keira Knightley) lives with her mother, father and sisters in [More]","Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland",Joe Wright
80,The Breakfast Club,1985,87%,"If The Breakfast Club's gestures towards authenticity are occasionally undercut by trendy flourishes, its blistering emotional honesty and talented troupe of young actors catapult it to the top of the teen comedy class.",Five high school students from different walks of life endure a Saturday detention under a power-hungry principal. The disparate group [More],"Emilio Estevez, Molly Ringwald, Judd Nelson, Paul Gleason",John Hughes
81,My Father's Dragon,2022,87%,"My Father's Dragon will soar particularly high with very young viewers, but this animated adventure has something to offer audiences of all ages.","Struggling to cope after a move to the city with his mother, Elmer runs away in search of Wild Island [More]","Gaten Matarazzo, Leighton Meester, Jackie Earle Haley, Golshifteh Farahani",Nora Twomey
82,Captain Underpants: The First Epic Movie,2017,87%,"With a tidy plot, clean animation, and humor that fits its source material snugly, Captain Underpants: The First Epic Movie is entertainment that won't drive a wedge between family members.",George Beard and Harold Hutchins are two overly imaginative pranksters who spend hours in a treehouse creating comic books. When [More],"Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",David Soren
83,Fair Play,2023,86%,"With assured style that's at times reminiscent of the best '90s nail-biting thrillers, Fair Play juxtaposes premarital disharmony with greed and gender politics in the cutthroat finance world.","When a coveted promotion at a cutthroat financial firm arises, once supportive exchanges between lovers Emily (Phoebe Dynevor) and Luke [More]","Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",Chloe Domont
84,The Deepest Breath,2023,85%,"A compelling documentary that can feel like a thriller, The Deepest Breath couples real-life tragedy with stunning footage of the ocean's depths.","A champion freediver trains to break a world record with the help of an expert safety diver, and the two [More]",Alessia Zecchini,Laura McGann
85,Shortcomings,2023,85%,"Randall Park's directorial debut has humor and heart, giving star Justin H. Min a swoonworthy starring vehicle with few Shortcomings.","Ben, a struggling filmmaker, lives in Berkeley, California, with his girlfriend, Miko, who works for a local Asian American film [More]","Justin H. Min, Sherry Cola, Ally Maki, Debby Ryan",Randall Park
